,data,target
197,aku bingung baca berita ini coba aku lurus virus moga tepat sasar lapor ada pasien di cina yg didiagnosa dengan severe fever with thrombocytopenia syndrome sfts yg biasa sebab oleh sfts virus sftsv 1 3,f
198,virus sfts bukan virus baru cina telah isolasi patogen virus pada tahun 2011 dan itu masuk dalam kategori virus bunya ahli virologi percaya bahwa virus itu mungkin tular ke manusia lalu kutu dan virus dapat tular di antara manusia,f
199,sempat2nya ada yang nyebarin info bahwa rokok itu akan usir corona padahal makin polusi udara yang hirup makin rentan orang infeksi virus ini gw kasih info tapi ini musti teliti dulu dalam tembakau ada satu zat sesquiterpene yang potensial lawan,f
200,bisa jadi sbb ingat bahaya rokok tidak ada tulis mudah serang virus bisa jadi malah tangkap virus ajarkobloksik,h
201,dari mana datang cinta dari mata turun hati itu dulu mmg iya tapi skrg saling tatap tatap bisa nak virus corona lho ingat yah begitu dahsyat virus corona ini bisa tular lewat mata guess jaga pandang mata,h
202,8 nah buat yg suka lirik cewek atau cowok keren atau tatap mata saat di jalan di dlm kereta atau bus ngga usah kuatir corona tak tular lewat tatap mata semangatindonesia,f
203,di catat yaa do bahwa sungguh corona itu tidak tular lewat tatap mata jadi mulai besok kita udah bisa tatap an mata yaa sekian dari aku pacar ini,f
204,salah satu hoax coronaindonesia yang banyak sebar misal bahwa virus corona akan mati di suhu 26 27 derajat dan cara adalah jemur di matahari kilas ga ada risiko tapi nyata saya temu ada kabar unik sini,f
205,turut ahli virologi virus mati oleh hembus uap air bayclin cuka atau oleh asap bakar tembakau jika semua ruang tutup hembus uap air bayclin 4 1 mati ac shg suhu ruang lbh 26 derajat celcius mk virus mati masuk corona di desa2 asap bakar tembakau,h
206,kawan kawan di bekas dan di kota lain bisa mungkin kita hindar pusat ramai untuk beberapa waktu ini ya inisiatif pribadi demi masyarakat rentan tidak ada teliti spesifik yang sebut virus corona mati di suhu 26 27 derajat celsius,h
207,perintah gak sengaja pakai dana calon jemaah haji kata si mbah itu kan gak sengaja jadi gak dosa tua bangka sarap,h
208,perintah jokowi kena amnesia wapres perintah tidak sengaja pakai dana haji,h
209,hoax jokowi pakai rp38 5 triliun dana haji kepala bp bpkh anggito abimanyu nyata seluruh dana jemaah haji kelola cara profesional syariah dan likuid,f
210,kalau pun di pakai kuat rupiah toh mereka bakal bisa haji taun depan klau mau di ambil juga butuh proses kisar 2minguan kurang lbh bgtu jadi dana haji ttp aman saya kira gk ada masalah lama lembaga perintah yg kait kompeten elo dana tsb jadi no prob,f
211,arti haji di tunda bukan atas minta saudi tp perintah indo sendiri manfaatin moment covid buat pakai dana haji,h
212,lagi viral penyalahgunaan tisu basah bagai ganti masker moga hapus ya yang sudah gantung posting cc waktuin detikcom,f
213,jangan laku apa yg saran video ini ingredients di dalam ga compatible untuk jadi bagai masker hirup terus terus it hazardous for inhalation antiseptic wipes bukan masker delete your video now,f
214,tahan diri untuk tidak ikut2an sebar informasi yg bisa ujung misinformasi disinformasi contoh tisu basah jadi ganti masker dll sangking terbukanyaa informasi di internet bnyak informasi luar sana ujung hoax jngn ikut2an sebar panik ya,f
215,tisu basah bisa jadi alternatif masker darurat,h
216,tenang sekarang tisu basah bisa jadi masker ko mba,h
217,dapat dari wag telah di temu mayat di depan skolah smp 6 cirebon dia adalah perempuan siswi smpn 6 kls 7 yg jadi korban juga turut polisi korban di ambil ginjal lalu di kubur begitu saja oleh si bunuh,h
218,hoax ini di smpn 6 kota tasikmalaya dan organ tubuh utuh gk ada organ tubuh yg hilang,f
219,partikel emas akan tembus kulit dan masuk buluh darah yg dalam prosentase tentu akan sebab sakit,h
220,partikel emas hias tembus kulit bayi kata sih istilah migrasi emas yaitu peristiwa satu partikel emas ke dalam kulit bayi yang timbul mual dan sakit,h
221,masih ingat dengan kasus bocor data tokopedia kabar buruk data itu sekarang sudah sebar dan dapat unduh gratis,f
222,lagi dan lagi jadi bocor data tokopedia telah bulan mei kemarin skrg jadi lagi mengapa ini kembali jadi 1 aman data di tokopedia memang payah dan tidak kuat paska bocor mei lalu 2 tidak ada rezim lindung data pribadi yg kuat di indonesia,f
223,jadi sebenernya agama ortodok itu bukan agama baru atau bahkan agama yg tiru agama islam,f
224,keri agama baru yang tiru islam harus baca bukan cuma sekali aku lihat itu video,h
225,ini di tl banyak yg bilang kristen ortodox syria adalah agama baru yg tiru islam duh coba baca dulu sejarah daripada lihat bego,f
226,takut tengok video agama baru yg tiru islam ya allah agama baru kristian ortodok dr syria,h
227,pantesaaaan di kota tembilahan kmrin slalu puanaaaaaas nyata lgi mo badai equinox,h
228,bantah isu badai panas saat fenomena equinox bmkg suhu indonesia normal,f
229,bmkg pasti isu badai panas equinox hoa,f
230,kata badai equinox turut broadcast di wag panas banget si engga cuma keringetan mulu kita sih,h
231,hari gin masih percaya hoaks vaksin sebab autis hellowww mana aja sih tahun 2015 kemenkes telah klarifikasi bhw thimerosal dalam vaksin tidak hubung dg timbul autisme,f
232,apakah betul vaksin mmr sebab autisme tidak bukti namun tanda2 autis dapat lihat di usia 2 3 th mana saat itu adalah jadwal anak dapat sunti mmr sehingga vaksin sebut sering kait dan jd kambing hitam sebab autisme,f
233,inti vaksin bukan sebab autis pada anak ingat ya ibu ibu hehe,f
234,copas dr tetangga assalamualaikum wr wb utk semua vaksin sebab autis,h
235,guru mau impor juga hellowww sarjana didik msh banyak yg nganggur btw pleasee jgn impor dong,h
236,jangan salahin jan ethes karena dia pakek barang impor kita juga pakai barang impor kita nge tweet pakek hp impor semua serba impor dari bawang gula garam beras sampai guru juga mau impor wacana saya do akan kita juga bisa impor president janethessukabarangimpor,h
237,impor dalam arti datang guru cara masif dari luar negeri untuk ajar di indonesia tetapi datang latih atau instruktur dari luar negeri untuk latih guru guru di indonesia khusus pada jenjang smk dan balai latih kerja blk,f
238,turut saya khusus untuk guru smk produktif perlu datang instruktur dari luar negeri lemah dasar dari guru produktif tidak hanya pada kompetensi teknis tetapi juga pada bagaimana latih dan mengases kompetensi,f
239,guru dalam negeri tidak percaya akan datang guru dari luar negeri sekarang kemenristekdikti rencana datang rektor asing,h
240,beras gula garam dan banyak juga komoditi asli indonesia impor malah sekarang pyan maharani mau impor guru asing lalu guruguru kita baik di expor mana ya ini perintah atau lsm abalabal,h
241,tanda2 hegemoni riba akan segera hancur kemarin bukopin gagal bayar deposito nasabah blm lama bca pun demikian lanjut berita hari ini pun ga kalah ngeri phk besar besar bca segera jadi teller cs akan hilang seluruh indonesia,h
242,sanggah 1 hoax tes sederhana untuk kenal virus corona hanya dalam puluh detik,f
243,tes sederhana untuk kenal virus corona hanya dalam puluh detik tanpa urus ke dokter atau laboratorium yang belum tahu siapa pun,h
244,tes sederhana kenal corona dalam puluh detik dark dokter jepang ambil napas dalam tahan napas lebih dari 10 detik jika hasil keluar napas tanpa batuk tidak nyaman lelah kaku di dada bukti bahwa tidak ada fibrosis di paru paru ygmenunjukkan bahwa tidak ada virus,h
245,prof waktu masjid tolikara papua bakar dan bakar justru undang dan jamu di istana kenapa laku tdk stigma sbg laku yg radikal tp jika korelasi dgn umat islam aktivis dakwah dan sifat arab kok spt beda,h
246,masjid bakar di papua laku undang ke istana pas ada musibah di papua partai mana yg kerja yap partai islam makanya gak perlu nge jil kalo mo jd rahmat lil alamin apalagi mo konser 18m pake alas bangsa segala,h
247,politis partai solidaritas indonesia dedek prayudi atau uki ingat untuk hati hati dalam sikap telah edar hoaks kait masjid yang bakar di papua,f
248,baca yg banyak mas diskusi serap informasi info tambah nih di tolikara papua masjid bakar krn ada provokasi petinggi organisasi yg taung warga yg provokasi bakar masjid itu yg malah undang ke istana bukan urus masjid yg bakar itu,h
249,jadi 29 januari 2019 lalu bakar masjid agung belopa luwu di lurah senga camat belopa kabupaten luwu sulawesi selatan bakar jadi sekitar pukul 10 55 wita saat para kerja laku renovasi pada bagi plafon masjid stop hoaks untuk provokasi,f
250,bagi ya sahabat hati2 minum air mineral ada yg kandung besi yg aman hanya ada 4 macam 1 afidis 2 cleo 3 equil 4 fiji wallahu lam,h
251,ma af tiap industri amdk yg udah bersetifikat sni bpom ada atur tentang kandung fisika kimia dan biologi semua katagori air mineral bila di elektrolisasi akan jadi gumpal kotor air deminerql akan sulit jadi gumpal kotor karena unsur mineral hilang,f
252,air mineral nyata kandung besi,h
253,oh ini video yg viral di grup wa keluarga gue fyi nama air mineral pasti ada mineral tubuh kita ini butuh mineral untuk ganti ion ion tubuh yang hilang telah beraktifitas coba dong pake spektrofotometri biar tau masing2 kadar mineral jgn kyk gin cara,f
254,matahari kembar di batas as kanada karena bumi ubah poros jadi fenomena lunar hunter matahari bulan terbit pd saat yg sama bulan pantul sinar mentari dg kuat,h
255,hari ini dua matahari muncul di batas antara amerika serikat dan kanada satu matahari asli dan yang lain adalah bulan fenomena ini sebut lunar hunter dan hanya jadi ketika bumi ubah poros bulan dan matahari lahir pada saat yang sama,h
256,subhanalloh begitu indah cipta nya fenomena ini sebut lunar hunter dan hanya jadi ketika bumi ubah poros bulan dan matahari lahir pada saat yang sama dan bulan pantul sinar matahari dengan intensitas yang kuat,h
257,simak video ini kisah orang remaja yang kena tiktok syndrome ia aku awal main tiktok hanya untuk senang senang saja namun akhir akhir ini rasa ada yang aneh pada diri ia aku tidak bisa kontrol tubuh,h
258,kemaren sempet viral kan ya remaja tiktok syndrome fyi ini cuma komedi jadi ngga beneran syndrome ya,f
259,demi tka china kalian terima sogo untuk pecat kapten ruslan buton akal sehat kalian mana dasar penghianat bangsatbangsa ini bukti kuasa hukum ruslan angkat bicara dia pecat dari tni karena dia tolak tka china masuk ke malu,h
260,anda tahu arti apa brita ini tni ada antek china malu tuk bangun pltu hmpir resap tka china plhn rb loh,h
261,klaim yg sebut bahwa ruslan buton pecat dari tni krn tolak tka china masuk malu nyata tidak benar,f
262,lo kenapa tuh ikan di bal pada mati ke pinggir pantai bnpb indonesia,h
263,ayo dong berhati2 dan teiliti belum unggah sesuatu di medsos sudah lumayan jelas platnya bukan plat indonesia bahasa pun bukan bahasa indonesia,f
264,ibadah haji 2020 batal laksana karena perintah arab saudi masih belum buka akses dan nyata sudah ada beberapa kali peristiwa yg buat ibadah haji tidak bisa laksana buat yg teriak salah perintah monggo baca biar gk ambyar,f
265,lagi minum sampe keselek baca main kata kata rezim panik ini wekekek duhhh tuhan kapan klean semua yang nge prank soal batal berangkat ibadah haji 2020 cekik serentak oleh malaikat cabut nyawa,h
266,kata new normal kok haji tetap batal nyata modus asas manfaat,h
267,ibu walikota surabaya pingsan saat pimpin rapat dgn komite sekolah smp sementara itu juga ibu bupati luwu utara sulsel jatuh dari motor trail nya saat bagi bansos di dalam cantik nya ibu bupati luwu utara jangan banding dengan ibu walkot surabaya ya,h
268,elo memang ga konsisten drun yang nolak asas tunggal pancasila itu dari gerombol elo preeetss,h
269,di alenia akhir ini yg harus di jelas oleh hnurwahid karena jangan sampai jadi benalu di bangsa ini,f
270,apa tuju pks guna asas lain selain pancasila jika pks tolak dasar pancasila layak pks bubar saja,h
271,wah dibuatin patung lilin lho oleh madame tussauds hongkong pak anies bilang beliau ingin ada senyum bibir,h
272,kata patung lilin anies basw edaaan yang mau dijadiin ogoh ogoh jejer sama patung sandiag ooounoooh,h
273,akhir dunia aku anies anies akan buat patung lilin,h
274,pakai masker tdk akan sebab hipoksia dan hiperkapnia ini hoax yg sesat aduh sudah juni masa harus perang lawan hoax lagi masker itu karakter pori sedang masker kain lebih banyak pori shgg mungkin napas jadi normal so gak ujug2 hipoksia ngaco,f
275,lebih sehat tanpa masker bisa leluasa hirup udara segar masker sebab hipoksia,h
276,nah sekarang sudah tau ya bahwa guna masker kain dalam waktu yang lama tidak bukti sebab kurang oksigen hipoksia yuk tetap disiplin pakai masker cuci masker cara rutin ya,f
277,adminnya baca soal ini dari mana aku butuh cerah abis googling dapet 2 berita ini,f
278,betul erupsi yg jadi belakang ini di rapi masih tinggi curah hujan di sekitar rapi juga berkah krn rupa desinfectan alami dari alam hujan asam juga manfaat untuk desinfectan lawan corona covid19 krn asam akan rusak lapis prootein pada virus,h
279,cara teknis abu rapi di wilayah kab magelang salam muntilan dan mungkid hilang virus corona karena warga malas keluar rumah karena panas dan abu vulkanik gusti alloh beri obat cara mujarab,h
280,betul banget cara logika abu vulkanik bisa jadi desinfektan alami virus corona bisa hancur dengan desinfektan kan,h
281,fadlizon kata mas aniesbaswedan duta germo cek fakta dki segera buka panti pijat fadli zon bilang anies duta ge ini fakta,h
282,anies buka dikotik dan panti pijat di bilang duta germo ya wajar sih ndak usah bilang tega tega kan untuk suplai dana segar bagi partai usung dana dari mana paling cepat ya itu buka panti pijat dan diskotik dengan alas yang klise tambah pad daerah korupsi,h
283,turut cerita keponakan yg biasa tunggu kakek jahrani ia sedang keluar karena ada keluarga yang tinggal telah tinggal kakek jahrani rangkak keluar rumah sambil mulut ada kapuk tidak benar itu kalo makan kapuk,f
284,2 oke kita mulai dari kasus tentang kakek jahrani yang sempat isu tidak dapat asupan makan yang cukup sampai harus makan kapuk dari bantal bener nggak sih kasus itu lalu gimanasi respon dan tindak apa yang laku perintah,f
285,guys boleh minta tolong rt thread aku ga tentang kakek yang makan kapuk kalau minat bisa reply nanti aku dm kalau aku taro tweetnya takut langgar tapi butuh juga dirt terimakasih,h
286,ada yang main kah lihat saja pola dan siapa yang main kek kasus kemarin rame juga di fb kakek dari serang jahrani nama makan kapuk bantal bosss karena ga makan dan kasi tambah tidak dapat bantu dari perintah,h
287,pada jam 9 pagi kemarin jembatan wuhan wuchang heping avenue tiba tiba runtuh dan korban saat ini belum jelas,h
288,seluruh rakyat indonesia sudah mulai buat lawan satu tumbang rezim ini dan tangkap partai dukung merdeka,h
289,presiden jokowi sudah layak utk makzul jgn sampai masyarakat turun ke jalan tumbang angkuh rezim ini hindar kacau nasional korban dgn segera undur diri,h
290,kamis 4 juni 2020 presiden jokowi enggunakan kaos kaki bukan sepatu tinjau masjid baiturrahim yang ada di komplek istana presiden jakarta,f
291,sedikit jelas saat presiden tinjau kesiap normal baru di masjid istiqlal jakarta klaim kelompok fitnah bahwa presiden masuk masjid pakai sepatu fakta saat presiden masuk masjid adalah guna kaus kaki warna putih bukan sepatu,f
292,fadli zon sanding dengan gambar ikan buntal gambar rupa tangkap layar berita buah media judul pesan fadli zon kepada sby saya kena bully tiap hari masak saya bilang ikan buntal,h
293,fadli zon curhat ke sby sebut ikan buntal ada yang lagi baper man teman salam indonesia,h
294,ada yang bilang nyata helm yahya di pecat dari diruttvri karena september kmrn siar film g30s pki gitu tu ya,h
295,helm yahya pecat dari tvri gara tayang liga inggris yg kata bukan jati diri bangsa,f
296,geoge floyd pemuda kulit hitam tewas tembak polisi di amerika polisi bantah lalu rekam cctv edar sontak seluruh amerika rusuh kalau di plnet yours yang mesti tangkap itu yg men share video cctv nya itu ya kan,h
297,bukan tewas krn tembak tp gara2 leher tekan pake lutut ga bs nafas dan tinggal,f
298,tengku zul sok2an komentar mati george floyd warga kulit hitam yg tewas bunuh polisi minneapolis usa turut zul floyd tewas tembak fakta floyd tewas krn leher tekan oleh lutut polisi hingga tak bisa napas,f
299,tadi siang saya temu dan diberitahu tetangga ruslan buton di bau bau bhw la gode yang bunuh bukan tani tetapi preman di halmahera yg sangat resah masyarakat dia bunuh ketka serang asrama tni itu sebab ruslan buton dkk dapat apresiasi warga,h
300,nyata baru mabes tni ad tentang ruslan buton sini jelas krn kasus bunuh la gode krn curi singkong kemudian dititipkn di pos satgas pamrahwan tp turut musniumar serang asrama ini yg hoax tni atau umar puspen tni divhumas polri,f
